Servidores,Clientes,MensagensPorCliente,AvgLatencyPerMsgAcrossRuns,MedianLatencyPerMsgAcrossRuns,MinLatencyPerMsgAcrossRuns,MaxLatencyPerMsgAcrossRuns,StdDevLatencyPerMsgAcrossRuns,TotalSucessos,TotalFalhas,NumRunsRemaining
2,10,1,11.0511,10.909500000000001,10.439,12.308,0.5435188742506248,100,0,10
2,10,10,10.96163,10.9183,10.728,11.6677,0.2643171918148512,1000,0,10
2,10,100,10.946207,10.94673,10.86208,11.02678,0.0473971042364401,10000,0,10
2,10,500,10.9174448,10.90681,10.820376,11.068752,0.0664699883636722,50000,0,10
2,10,1000,10.9405301,10.920728,10.865771,11.099368,0.06402420505550124,100000,0,10
2,10,10000,10.91101341,10.9041501,10.896423400000002,10.959115,0.018264063009725807,1000000,0,10
2,20,1,11.154300000000001,11.19725,10.5275,11.779,0.3766234635990342,200,0,10
2,20,10,10.981525,10.9879,10.8051,11.22185,0.10966310594523392,2000,0,10
2,20,100,10.920229500000001,10.90283,10.845745,11.164155000000001,0.09248393369331176,20000,0,10
2,20,500,10.9130711,10.900257,10.87983,10.997978,0.0390649040485472,100000,0,10
2,20,1000,10.93798405,10.90190025,10.8796045,11.1734375,0.08894267339898407,200000,0,10
2,20,10000,10.90781308,10.904577575,10.883743449999999,10.9602013,0.020715784693027765,2000000,0,10
2,30,1,10.766766666666665,10.763166666666667,10.441666666666666,11.199000000000002,0.2704261406204371,300,0,10
2,30,10,10.923829999999999,10.959283333333332,10.461033333333333,11.188133333333333,0.19172701301203895,3000,0,10
2,30,100,10.919937000000001,10.919226666666667,10.819533333333332,11.078496666666666,0.07634410199716168,30000,0,10
2,30,500,10.9226408,10.909612666666668,10.880823999999999,11.015191333333332,0.04675598295727718,150000,0,10
2,30,1000,10.931056033333332,10.913960333333332,10.871046666666668,11.173734333333334,0.0871091042202854,300000,0,10
2,30,10000,10.911141976666666,10.908659033333334,10.889662333333334,10.9349507,0.015133203268710638,3000000,0,10
2,40,1,11.252475,11.048749999999998,10.658750000000001,12.9365,0.6342569630196337,400,0,10
2,40,10,10.8958375,10.888024999999999,10.715625,11.066275000000001,0.11616726461467372,4000,0,10
2,40,100,11.017989,10.904396250000001,10.829435,11.3896575,0.20256604925993366,40000,0,10
2,40,500,10.9158713,10.900655,10.8499285,11.042835499999999,0.05994113060291373,200000,0,10
2,40,1000,10.9345005,10.911084875,10.870585499999999,11.130508500000001,0.07454710312353684,400000,0,10
2,40,10000,10.92812502,10.906388612499999,10.887187675000002,11.040257775,0.04858317612510089,4000000,0,10
2,50,1,11.66218,11.3045,10.6532,14.673599999999999,1.311213478508447,500,0,10
2,50,10,10.898988,10.87896,10.74686,11.10718,0.10934964683172213,5000,0,10
2,50,100,10.9102386,10.869688,10.8126,11.236066000000001,0.12413891481204109,50000,0,10
2,50,500,10.93190704,10.916098600000002,10.8553856,11.1392288,0.07695093347107165,250000,0,10
2,50,1000,10.928116880000001,10.908775600000002,10.8696516,11.1707764,0.08958508442389969,500000,0,10
2,50,10000,10.953598959999999,10.90492854,10.8944044,11.28902088,0.12458229848620389,5000000,0,10
2,60,1,11.05085,10.950916666666668,10.439,11.593666666666667,0.37025885548049886,600,0,10
2,60,10,10.867058333333334,10.86135,10.520966666666666,11.267166666666666,0.2533314935666624,6000,0,10
2,60,100,10.925507666666666,10.9254825,10.78967,11.146171666666666,0.10753621293933159,60000,0,10
2,60,500,10.936838133333334,10.901541833333333,10.849490666666666,11.265584,0.11858843808946451,300000,0,10
2,60,1000,10.95726005,10.920301833333333,10.876556833333334,11.3068495,0.12633080548519177,600000,0,10
2,60,10000,10.949192544999999,10.907769075000001,10.887244066666668,11.1825301,0.10241056552284024,6000000,0,10
2,70,1,14.262714285714287,11.587142857142858,11.121857142857143,27.034857142857145,5.177517251871214,700,0,10
2,70,10,11.076024285714286,10.945242857142858,10.583757142857143,12.757642857142857,0.620443278118807,7000,0,10
2,70,100,10.945475142857143,10.927746428571428,10.821077142857142,11.182151428571428,0.1221415645530788,70000,0,10
2,70,500,10.93739437142857,10.910238285714286,10.857728,11.234868571428573,0.10696777251553508,350000,0,10
2,70,1000,10.967638957142857,10.911145071428571,10.892764428571429,11.296955857142857,0.12669900573782164,700000,0,10
2,70,10000,10.95135401,10.906586121428571,10.894515,11.233794357142857,0.10908595033667393,7000000,0,10
2,80,1,12.14865,11.8028125,10.642875,14.773875,1.3825898451316323,800,0,10
2,80,10,10.944495,11.062431250000001,10.448275,11.261500000000002,0.29723076573131224,8000,0,10
2,80,100,11.029060375,10.899545,10.78497125,12.32873375,0.46236539098071916,80000,0,10
2,80,500,10.9826821,10.930201,10.864819500000001,11.24325725,0.13910534878171832,400000,0,10
2,80,1000,10.97203495,10.89900875,10.8652305,11.310695875,0.16976940991990522,800000,0,10
2,80,10000,10.96123851125,10.9023583875,10.885771012500001,11.300247250000002,0.1359256173116479,8000000,0,10
2,90,1,14.244377777777776,13.374722222222223,11.218222222222222,18.328777777777777,2.3419164207568772,900,0,10
2,90,10,11.301716666666668,11.009327777777777,10.666366666666667,12.585355555555555,0.6655638640271608,9000,0,10
2,90,100,11.01479,10.871706111111113,10.770414444444445,11.89752111111111,0.34332464907152,90000,0,10
2,90,500,10.989979022222222,10.911278777777778,10.82245288888889,11.452651111111111,0.21858621826887564,450000,0,10
2,90,1000,10.959836277777779,10.898360166666667,10.854377333333334,11.335752555555555,0.1609375851575664,900000,0,10
2,90,10000,10.958107594444446,10.892522761111112,10.874302477777778,11.325934700000001,0.14587273446195617,9000000,0,10
2,100,1,13.135410000000002,12.581949999999999,10.951300000000002,17.1931,2.0010692066714957,1000,0,10
2,100,10,11.550536,11.33291,10.59698,13.75396,0.9878163157096674,10000,0,10
2,100,100,11.2379906,10.9424365,10.804058,13.802481,0.9101229460471817,100000,0,10
2,100,500,11.0075938,10.882792300000002,10.7973524,11.900870600000001,0.33400517942766467,500000,0,10
2,100,1000,10.92670471,10.8706493,10.819561299999998,11.237528500000002,0.12979359478468194,1000000,0,10
2,100,10000,10.964951282000001,10.867801140000001,10.85089484,11.45677672,0.2146265245320976,10000000,0,10
4,10,1,11.1418,11.2195,10.581999999999999,11.697,0.31214982157789367,100,0,10
4,10,10,10.93639,10.966650000000001,10.673,11.1469,0.13172749185766452,1000,0,10
4,10,100,10.887222,10.868595,10.81335,11.038969999999999,0.06594939672877079,10000,0,10
4,10,500,10.9018046,10.898926,10.83685,10.981489999999999,0.04025019330857632,50000,0,10
4,10,1000,10.9195626,10.8972775,10.87908,11.121169,0.07254184481034961,100000,0,10
4,10,10000,10.915402740000001,10.8976486,10.8848508,11.0449625,0.04821139546848069,1000000,0,10
4,20,1,11.0777,10.943000000000001,10.8465,11.421,0.24607453703660115,200,0,10
4,20,10,11.087215,11.064675000000001,10.892349999999999,11.34595,0.16584179216282588,2000,0,10
4,20,100,10.932683,10.924785,10.85789,11.05074,0.06728367724294942,20000,0,10
4,20,500,10.9169461,10.9102985,10.855236999999999,10.997341,0.044444529773265844,100000,0,10
4,20,1000,10.9201029,10.9165665,10.8749105,11.0135185,0.042828136718361484,200000,0,10
4,20,10000,10.912442235,10.906564399999999,10.8891548,10.9774252,0.02629800049056404,2000000,0,10
4,30,1,11.078633333333332,11.153833333333335,10.491999999999999,11.639999999999999,0.35923943836120464,300,0,10
4,30,10,10.829643333333333,10.80705,10.684899999999999,11.069833333333333,0.1184361734135287,3000,0,10
4,30,100,10.929117666666667,10.907058333333334,10.84933,11.099803333333334,0.07247008983788526,30000,0,10
4,30,500,10.934635400000001,10.919273666666665,10.893086666666665,11.026935333333332,0.042987259285559035,150000,0,10
4,30,1000,10.932344833333334,10.926740166666667,10.883174666666667,11.067588333333335,0.052416455977024476,300000,0,10
4,30,10000,10.916630173333333,10.905171750000001,10.888250666666668,10.9948864,0.03454926545299366,3000000,0,10
4,40,1,11.438550000000001,11.3535,10.497,13.253,0.7510391301390362,400,0,10
4,40,10,10.9235675,10.92795,10.740125,11.08135,0.1055929935399231,4000,0,10
4,40,100,10.94499975,10.91738,10.816510000000001,11.2421125,0.12210814220878306,40000,0,10
4,40,500,10.92624605,10.9044945,10.8451215,11.185582,0.09650505776050464,200000,0,10
4,40,1000,10.921490850000001,10.912922125,10.86679,11.0724725,0.05737142721630774,400000,0,10
4,40,10000,10.9537990625,10.90517445,10.8858932,11.1588789,0.10369192865522359,4000000,0,10
4,50,1,11.42548,11.273600000000002,10.6874,12.4112,0.6236088033018415,500,0,10
4,50,10,10.914958,10.8703,10.4977,11.430159999999999,0.23711738835906204,5000,0,10
4,50,100,10.9644996,10.940208,10.799636,11.22667,0.13753319082817025,50000,0,10
4,50,500,10.94605848,10.914314999999998,10.8526648,11.296574399999999,0.12733252719155663,250000,0,10
4,50,1000,10.937700959999999,10.903155,10.8849574,11.257734,0.11346206629674575,500000,0,10
4,50,10000,10.94388964,10.904018440000002,10.895998539999999,11.25304318,0.10967266968167233,5000000,0,10
4,60,1,12.631233333333332,11.487416666666668,10.882666666666667,18.03933333333333,2.3315098115244046,600,0,10
4,60,10,11.046496666666666,11.046283333333333,10.769133333333333,11.363150000000001,0.22687342337649052,6000,0,10
4,60,100,10.958639333333334,10.938059166666665,10.813021666666666,11.279959999999999,0.12445826566155228,60000,0,10
4,60,500,10.937788233333332,10.904955000000001,10.851616,11.205281333333334,0.10393643674565697,300000,0,10
4,60,1000,11.033120466666666,10.914134083333334,10.859142666666667,11.741678333333333,0.27996036585038003,600000,0,10
4,60,10000,10.951710738333333,10.904417141666666,10.891988966666666,11.311250916666665,0.1278381626014892,6000000,0,10
4,70,1,12.921442857142859,12.686857142857143,10.542857142857143,16.71357142857143,1.7782713439074358,700,0,10
4,70,10,11.361775714285715,11.269914285714286,11.139814285714285,11.775157142857143,0.20713275881789056,7000,0,10
4,70,100,10.972634,10.874360714285714,10.806131428571428,11.424182857142856,0.21384460498688196,70000,0,10
4,70,500,10.9159774,10.885121999999999,10.842761714285713,11.225521428571428,0.11089056911033283,350000,0,10
4,70,1000,11.029778214285715,10.882962285714285,10.868182571428571,11.914631428571427,0.33531932837732487,700000,0,10
4,70,10000,10.95653007857143,10.9045577,10.890087342857143,11.300619928571429,0.12623994008552067,7000000,0,10
4,80,1,14.5695875,13.5691875,10.918375000000001,19.379624999999997,3.1214993237147106,800,0,10
4,80,10,11.469405,11.437249999999999,10.80895,12.8987375,0.6055861765792618,8000,0,10
4,80,100,11.052553625,10.91474625,10.717102500000001,12.47119,0.51192576709396,80000,0,10
4,80,500,10.885598275,10.843629749999998,10.81920725,11.16974525,0.10452643143432709,400000,0,10
4,80,1000,10.9818005125,10.870500250000001,10.816696625,11.604597625,0.24534516912820345,800000,0,10
4,80,10000,10.91375416,10.86324115625,10.8403943875,11.274971187499998,0.1327556897587204,8000000,0,10
4,90,1,15.050055555555556,14.640611111111113,11.179777777777778,21.103777777777776,3.3411240291949125,900,0,10
4,90,10,11.813075555555555,11.670094444444445,10.842600000000001,13.525611111111111,0.8194608350200066,9000,0,10
4,90,100,11.095313,10.96841,10.717544444444444,11.885934444444445,0.3575594289672148,90000,0,10
4,90,500,10.865916777777779,10.811502444444445,10.722026,11.159612444444445,0.134465187510885,450000,0,10
4,90,1000,10.923847366666667,10.877437,10.810795,11.196618444444445,0.12739792994289206,900000,0,10
4,90,10000,10.897385206666666,10.82752016111111,10.809578577777778,11.222462111111112,0.15288667275728884,9000000,0,10
4,100,1,17.13503,15.33865,12.8544,27.3763,4.670469726566887,1000,0,10
4,100,10,12.330388000000001,12.23413,11.32811,13.50994,0.6766098074436175,10000,0,10
4,100,100,11.2362961,11.147006999999999,10.985346,11.826185,0.25268708975307325,100000,0,10
4,100,500,10.94027862,10.9254355,10.7805828,11.2076646,0.13222953585863725,500000,0,10
4,100,1000,11.07133918,10.912669600000001,10.8577423,12.428285500000001,0.4796471301835633,1000000,0,10
4,100,10000,11.004334406,10.910060155,10.858951130000001,11.50283726,0.2147754219866047,10000000,0,10
6,10,1,11.162299999999998,11.173,10.495999999999999,12.251999999999999,0.5400088579520405,100,0,10
6,10,10,11.33511,10.816099999999999,10.5996,15.2898,1.4213767163876325,1000,0,10
6,10,100,10.922146999999999,10.914945,10.834620000000001,11.0429,0.06900004235908508,10000,0,10
6,10,500,10.9207344,10.923468,10.846160000000001,11.015564,0.05031885490483039,50000,0,10
6,10,1000,10.9327708,10.903058999999999,10.869458,11.119318,0.07387667648152178,100000,0,10
6,10,10000,10.912755780000001,10.89089805,10.882216699999999,11.0504272,0.0518036768148067,1000000,0,10
6,20,1,11.05745,10.98375,10.568999999999999,11.986,0.4200048577761404,200,0,10
6,20,10,11.091425,10.947624999999999,10.814449999999999,11.96565,0.34542707804976797,2000,0,10
6,20,100,10.956221500000002,10.9550225,10.86316,11.121815,0.0795043458647949,20000,0,10
6,20,500,10.915701799999999,10.9092065,10.87032,10.993578,0.03822517354309844,100000,0,10
6,20,1000,10.9239391,10.903913249999999,10.88139,11.001419,0.043324666676796984,200000,0,10
6,20,10000,11.01306147,10.898139,10.891573249999999,11.9941896,0.3453269297315187,2000000,0,10
6,30,1,11.924433333333333,11.554333333333332,10.712333333333333,14.486666666666668,1.1723380569413788,300,0,10
6,30,10,11.09769,11.030166666666666,10.741900000000001,11.974333333333334,0.34564157023436,3000,0,10
6,30,100,10.967805666666667,10.969625,10.847956666666667,11.148453333333334,0.1038650236409066,30000,0,10
6,30,500,10.948075066666666,10.925789666666667,10.860864,11.126024666666666,0.08809547931126416,150000,0,10
6,30,1000,10.955169133333333,10.916690666666668,10.875985666666667,11.115862666666667,0.08815042946502938,300000,0,10
6,30,10000,10.943709909999999,10.89992265,10.888022933333334,11.206285533333334,0.10469884963463111,3000000,0,10
6,40,1,12.0096,11.7765,10.68125,14.97875,1.1454917502976614,400,0,10
6,40,10,11.523055,11.099287499999999,10.74175,15.54375,1.4351209648880157,4000,0,10
6,40,100,11.01703275,10.93435,10.8771425,11.367495000000002,0.18777450160605647,40000,0,10
6,40,500,11.0041872,10.948914,10.8751345,11.247152499999999,0.13497544518853902,200000,0,10
6,40,1000,10.978926275000001,10.913337875,10.858817,11.3064155,0.16779210389415936,400000,0,10
6,40,10000,10.976895809999998,10.9063012,10.88711905,11.299517625,0.16115324982526047,4000000,0,10
6,50,1,13.02112,12.2734,10.9968,18.2038,2.308605255127,500,0,10
6,50,10,11.281814,11.33704,10.759079999999999,11.915280000000001,0.3225092059392349,5000,0,10
6,50,100,11.02757,10.921402,10.792274,11.390866,0.21729560324845837,50000,0,10
6,50,500,11.03523432,10.911003,10.856435600000001,11.842735600000001,0.3134647205854691,250000,0,10
